,Unnamed: 0,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
60,60,NDXP,21441.1543,NDXP250121C18850000,2025-01-21,4,18850.0,call,0,0,2595.6335,0.0,no_change,2501.2,1,2682.0,1,0.0,0.0,0.0,2341.80004882812,0.0,0.0,0.4576,0.9993,0.0,-0.1576,0.0666,0.5145
61,61,NDXP,21441.1543,NDXP250121P18850000,2025-01-21,4,18850.0,put,0,0,0.1815,0.0,no_change,0.0,0,0.55,19,0.0,0.0,0.0,0.875000029802322,0.0,0.0,0.4152,-0.0008,0.0,-0.1574,0.0667,-0.0004
62,62,NDXP,21441.1543,NDXP250121C18875000,2025-01-21,4,18875.0,call,0,0,2570.6416,0.0,no_change,2476.2,1,2658.0,1,0.0,0.0,0.0,2317.34997558594,0.0,0.0,0.7034,0.9992,0.0,-0.1614,0.0687,0.5163
63,63,NDXP,21441.1543,NDXP250121P18875000,2025-01-21,4,18875.0,put,0,0,0.1864,0.0,no_change,0.0,0,0.55,19,0.0,0.0,0.0,0.875000029802322,0.0,0.0,0.4113,-0.0008,0.0,-0.1614,0.0687,-0.0005
64,64,NDXP,21441.1543,NDXP250121C18900000,2025-01-21,4,18900.0,call,0,0,2545.6499,0.0,no_change,2451.3,1,2634.0,1,0.0,0.0,0.0,2292.40002441406,0.0,0.0,0.4488,0.9992,0.0,-0.1655,0.0707,0.5166
65,65,NDXP,21441.1543,NDXP250121P18900000,2025-01-21,4,18900.0,put,7,0,0.1914,1.05,down,0.1,1,0.55,19,0.0,0.0,0.0,0.925000011920929,0.0,0.0,0.4098,-0.0009,0.0,-0.1655,0.0707,-0.0005
66,66,NDXP,21441.1543,NDXP250121C18925000,2025-01-21,4,18925.0,call,0,0,2520.6582,0.0,no_change,2426.3,1,2608.0,1,0.0,0.0,0.0,2267.40002441406,0.0,0.0,0.6914,0.9992,0.0,-0.1695,0.0729,0.5179
67,67,NDXP,21441.1543,NDXP250121P18925000,2025-01-21,4,18925.0,put,0,0,0.1964,0.0,no_change,0.0,0,0.55,19,0.0,0.0,0.0,0.925000011920929,0.0,0.0,0.4058,-0.0009,0.0,-0.1696,0.0729,-0.0005
68,68,NDXP,21441.1543,NDXP250121C18950000,2025-01-21,4,18950.0,call,0,0,2495.6668,0.0,no_change,2401.4,1,2584.0,1,0.0,0.0,0.0,2242.40002441406,0.0,0.0,0.44,0.9992,0.0,-0.1738,0.075,0.5177
69,69,NDXP,21441.1543,NDXP250121P18950000,2025-01-21,4,18950.0,put,1,6,0.2016,0.3,no_change,0.0,0,0.55,19,0.4,0.4,0.3,0.925000011920929,-0.625,-0.6756759999999999,0.4019,-0.0009,0.0,-0.1738,0.075,-0.0005
70,70,NDXP,21441.1543,NDXP250121C18975000,2025-01-21,4,18975.0,call,0,0,2470.6753,0.0,no_change,2364.4,1,2558.0,1,0.0,0.0,0.0,2217.40002441406,0.0,0.0,0.6793,0.9991,0.0,-0.1781,0.0772,0.5186
71,71,NDXP,21441.1543,NDXP250121P18975000,2025-01-21,4,18975.0,put,1,0,0.2069,3.95,down,0.0,0,0.55,19,0.0,0.0,0.0,0.949999988079071,0.0,0.0,0.398,-0.001,0.0,-0.1781,0.0773,-0.0005
