,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
35,NDXP,22030.7148,NDXP250213P18625000,2025-02-13,1,18625.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NDXP,22030.7148,NDXP250213C18650000,2025-02-13,1,18650.0,call,0,0,3384.2168,0.0,no_change,3279.7,1,3459.6,1,0.0,0.0,0.0,3053.35009765625,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
37,NDXP,22030.7148,NDXP250213P18650000,2025-02-13,1,18650.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,NDXP,22030.7148,NDXP250213C18675000,2025-02-13,1,18675.0,call,0,0,3359.2168,0.0,no_change,3254.7,1,3434.6,1,0.0,0.0,0.0,3028.35009765625,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
39,NDXP,22030.7148,NDXP250213P18675000,2025-02-13,1,18675.0,put,0,0,0.0,0.0,no_change,0.0,0,0.05,20,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,NDXP,22030.7148,NDXP250213C18700000,2025-02-13,1,18700.0,call,0,0,3334.2168,0.0,no_change,3229.7,1,3409.6,1,0.0,0.0,0.0,3003.35009765625,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
41,NDXP,22030.7148,NDXP250213P18700000,2025-02-13,1,18700.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,NDXP,22030.7148,NDXP250213C18725000,2025-02-13,1,18725.0,call,0,0,3309.2168,0.0,no_change,3204.7,1,3384.6,1,0.0,0.0,0.0,2978.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
43,NDXP,22030.7148,NDXP250213P18725000,2025-02-13,1,18725.0,put,1,0,0.0,1.69,down,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,NDXP,22030.7148,NDXP250213C18750000,2025-02-13,1,18750.0,call,0,0,3278.5564,0.0,no_change,3179.7,1,3359.6,1,0.0,0.0,0.0,2953.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
45,NDXP,22030.7148,NDXP250213P18750000,2025-02-13,1,18750.0,put,2,0,0.0,3.58,down,0.0,0,0.05,5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,NDXP,22030.7148,NDXP250213C18775000,2025-02-13,1,18775.0,call,0,0,3253.5564,0.0,no_change,3154.7,1,3334.6,1,0.0,0.0,0.0,2928.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
47,NDXP,22030.7148,NDXP250213P18775000,2025-02-13,1,18775.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,NDXP,22030.7148,NDXP250213C18800000,2025-02-13,1,18800.0,call,0,0,3228.5564,0.0,no_change,3129.7,1,3309.6,1,0.0,0.0,0.0,2903.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
49,NDXP,22030.7148,NDXP250213P18800000,2025-02-13,1,18800.0,put,6,0,0.0,22.3,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NDXP,22030.7148,NDXP250213C18825000,2025-02-13,1,18825.0,call,0,0,3203.5564,0.0,no_change,3104.7,1,3284.6,1,0.0,0.0,0.0,2878.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
51,NDXP,22030.7148,NDXP250213P18825000,2025-02-13,1,18825.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,NDXP,22030.7148,NDXP250213C18850000,2025-02-13,1,18850.0,call,0,0,3178.5564,0.0,no_change,3079.7,1,3259.6,1,0.0,0.0,0.0,2853.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
53,NDXP,22030.7148,NDXP250213P18850000,2025-02-13,1,18850.0,put,7,0,0.0,23.44,down,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,NDXP,22030.7148,NDXP250213C18875000,2025-02-13,1,18875.0,call,0,0,3153.5564,0.0,no_change,3054.7,1,3234.6,1,0.0,0.0,0.0,2828.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
55,NDXP,22030.7148,NDXP250213P18875000,2025-02-13,1,18875.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,NDXP,22030.7148,NDXP250213C18900000,2025-02-13,1,18900.0,call,0,0,3128.5564,0.0,no_change,3029.7,1,3209.6,1,0.0,0.0,0.0,2803.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
57,NDXP,22030.7148,NDXP250213P18900000,2025-02-13,1,18900.0,put,2,0,0.0,3.93,down,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,NDXP,22030.7148,NDXP250213C18925000,2025-02-13,1,18925.0,call,0,0,3103.5564,0.0,no_change,3004.7,1,3184.6,1,0.0,0.0,0.0,2778.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
59,NDXP,22030.7148,NDXP250213P18925000,2025-02-13,1,18925.0,put,1,1,0.0,0.2,down,0.0,0,20.0,2,0.2,0.2,0.2,0.125,0.075,0.6,0.0,0.0,0.0,0.0,0.0,0.0
60,NDXP,22030.7148,NDXP250213C18950000,2025-02-13,1,18950.0,call,0,0,3078.5564,0.0,no_change,2979.7,1,3159.6,1,0.0,0.0,0.0,2753.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
61,NDXP,22030.7148,NDXP250213P18950000,2025-02-13,1,18950.0,put,1,0,0.0,10.0,down,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,NDXP,22030.7148,NDXP250213C18975000,2025-02-13,1,18975.0,call,0,0,3053.5564,0.0,no_change,2954.7,1,3134.6,1,0.0,0.0,0.0,2728.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
63,NDXP,22030.7148,NDXP250213P18975000,2025-02-13,1,18975.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NDXP,22030.7148,NDXP250213C19000000,2025-02-13,1,19000.0,call,0,0,3028.5564,0.0,no_change,2929.7,1,3109.6,1,0.0,0.0,0.0,2703.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
65,NDXP,22030.7148,NDXP250213P19000000,2025-02-13,1,19000.0,put,24,0,0.0,0.7,up,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NDXP,22030.7148,NDXP250213C19025000,2025-02-13,1,19025.0,call,0,0,3003.5564,0.0,no_change,2904.7,1,3084.6,1,0.0,0.0,0.0,2678.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
67,NDXP,22030.7148,NDXP250213P19025000,2025-02-13,1,19025.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,NDXP,22030.7148,NDXP250213C19050000,2025-02-13,1,19050.0,call,0,0,2978.5564,0.0,no_change,2879.7,1,3059.6,1,0.0,0.0,0.0,2653.40002441406,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
69,NDXP,22030.7148,NDXP250213P19050000,2025-02-13,1,19050.0,put,7,0,0.0,27.76,up,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,NDXP,22030.7148,NDXP250213C19075000,2025-02-13,1,19075.0,call,0,0,2953.5564,0.0,no_change,2854.7,1,3034.6,1,0.0,0.0,0.0,2628.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
71,NDXP,22030.7148,NDXP250213P19075000,2025-02-13,1,19075.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
